Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"req_data = sendRequest(findTestObject(""Search_ME"", [""MID"":MID, ""source"":source, ""ip"":ip, ""userid"":userid, ""branch"":branch, ""tipekons"":tipekons, ""marital"":marital, ""penjamin"":penjamin, ... ]))",,data ME for scoring request,,2022-11-24 11:17:28,2022-11-24 11:17:29,0.785s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-11-24 11:17:29,2022-11-24 11:17:29,0.000s,PASSED
result = slurper.parseText(req_data.getResponseBodyContent()),,,,2022-11-24 11:17:29,2022-11-24 11:17:29,0.000s,PASSED
reqid_kons = requestid1,,,,2022-11-24 11:17:29,2022-11-24 11:17:29,0.000s,PASSED
reqid_spouse = requestid2,,,,2022-11-24 11:17:29,2022-11-24 11:17:29,0.000s,PASSED
"println(""requestid kons : "" + reqid_kons)",,,,2022-11-24 11:17:29,2022-11-24 11:17:29,0.000s,PASSED
response_searchME_kons = reqid_kons,,store var to global variable,,2022-11-24 11:17:29,2022-11-24 11:17:29,0.000s,PASSED
response_searchME_spouse = reqid_spouse,,,,2022-11-24 11:17:29,2022-11-24 11:17:29,0.000s,PASSED
"println(""kons req id is :"" + response_searchME_kons)",,,,2022-11-24 11:17:29,2022-11-24 11:17:29,0.000s,PASSED
"println(""spouse req id is : "" + response_searchME_spouse)",,,,2022-11-24 11:17:29,2022-11-24 11:17:29,0.000s,PASSED
"verifyResponseStatusCode(req_data, 200)",,verify response status code,,2022-11-24 11:17:29,2022-11-24 11:17:29,0.000s,PASSED
response = req_data.getResponseText(),,show response to report in test suite,,2022-11-24 11:17:29,2022-11-24 11:17:29,0.000s,PASSED
logInfo($response),,,,2022-11-24 11:17:29,2022-11-24 11:17:29,0.000s,PASSED
delay(10),,,,2022-11-24 11:17:29,2022-11-24 11:17:39,10.012s,PASSED
"scoring = sendRequest(findTestObject(""EngineScore"", [""response_searchME_kons"":response_searchME_kons, ""response_searchME_spouse"":response_searchME_spouse]))",,Engine Scoring - inquiry scoring result from req_id,,2022-11-24 11:17:39,2022-11-24 11:17:39,0.103s,PASSED
"verifyResponseStatusCode(scoring, 200)",,verify response status code,,2022-11-24 11:17:39,2022-11-24 11:17:39,0.001s,PASSED
response2 = scoring.getResponseText(),,show response to report in test suite,,2022-11-24 11:17:39,2022-11-24 11:17:39,0.000s,PASSED
"markPassed(""result service data ke : "" + no)",,,,2022-11-24 11:17:39,2022-11-24 11:17:39,0.000s,PASSED
logInfo($response2),,,,2022-11-24 11:17:39,2022-11-24 11:17:39,0.000s,PASSED
"verifyElementPropertyValue(scoring, ""Final_result"", final_result)",,verify final result scoring,,2022-11-24 11:17:39,2022-11-24 11:17:39,0.013s,PASSED
,,,,,,,
Test Cases/Engine_Scoring/Engine Scoring,,,,2022-11-24 11:17:39,2022-11-24 11:17:51,11.570s,PASSED
"markPassed(""Variasi data ke : "" + no)",,,,2022-11-24 11:17:40,2022-11-24 11:17:40,0.000s,PASSED
"req_data = sendRequest(findTestObject(""Search_ME"", [""MID"":MID, ""source"":source, ""ip"":ip, ""userid"":userid, ""branch"":branch, ""tipekons"":tipekons, ""marital"":marital, ""penjamin"":penjamin, ... ]))",,data ME for scoring request,,2022-11-24 11:17:40,2022-11-24 11:17:41,0.700s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-11-24 11:17:41,2022-11-24 11:17:41,0.000s,PASSED
result = slurper.parseText(req_data.getResponseBodyContent()),,,,2022-11-24 11:17:41,2022-11-24 11:17:41,0.000s,PASSED
reqid_kons = requestid1,,,,2022-11-24 11:17:41,2022-11-24 11:17:41,0.000s,PASSED
reqid_spouse = requestid2,,,,2022-11-24 11:17:41,2022-11-24 11:17:41,0.000s,PASSED
"println(""requestid kons : "" + reqid_kons)",,,,2022-11-24 11:17:41,2022-11-24 11:17:41,0.000s,PASSED
